canonical_smiles,inchi_key,label,source
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,1,union
CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1,UQZVCDCIMBLVNR-TWYODKAFSA-N,0,marketed_clean
CCCCNc1ccc(C(=O)OCCN(C)C)c(O)c1,DHCUQNSUUYMFGX-UHFFFAOYSA-N,0,marketed_clean
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)O,JIRBAUWICKGBFE-MNRDOXJOSA-N,0,marketed_clean
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,HTIQEAQVCYTUBX-UHFFFAOYSA-N,1,union
CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,VFCRKLWBYMDAED-REWPJTCUSA-N,0,marketed_clean
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JAYAGJDXJIDEKI-BNNXBDHTSA-N,0,marketed_clean
OC[C@H]1O[C@@]2(C[C@@H](c3ccc4ccccc4c3)NO2)[C@H](O)[C@@H](O)[C@@H]1O,ZCJBDRSKHARECB-PYTCMNEWSA-N,0,marketed_clean
Cn1c(N)nc2ncc(-c3ccc(O)cc3)cc21,UGJXOCBVCWTJFP-UHFFFAOYSA-N,0,marketed_clean
CCC(C(=O)OCCN(CC)CC)c1ccccc1,CKWHSYRZDLWQFV-UHFFFAOYSA-N,0,marketed_clean
O=P(O)(O)OC[C@H]1C[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,OICBXEWBKALHHB-MOJAZDJTSA-N,0,marketed_clean
O=C(O)C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,OQANPHBRHBJGNZ-FYJGNVAPSA-N,1,union
COc1cccc(N2C(CN3CCOCC3)=Cc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,XSUAVPPTKHUTDX-UHFFFAOYSA-N,0,marketed_clean
CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,BPKIMPVREBSLAJ-QTBYCLKRSA-N,0,marketed_clean
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,UWFYSQMTEOIJJG-FDTZYFLXSA-N,0,marketed_clean
O=C1N[C@H](O)C=CN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,ILSIYJVILUIVPM-LXGUWJNJSA-N,0,marketed_clean
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,GHCZAUBVMUEKKP-GYPHWSFCSA-N,0,marketed_clean
CC(C)=CCC/C(C)=C/CSP(=O)(O)OP(=O)(O)O,AKIXWSDUEPPMKM-JXMROGBWSA-N,0,marketed_clean
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,QLIIKPVHVRXHRI-CXSFZGCWSA-N,0,marketed_clean
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZFEAMMNVDPDEGE-LGRGJMMZSA-N,0,marketed_clean
Cc1nc(N)nc2c1CSCC2,ONZWAEXRMZGFAN-UHFFFAOYSA-N,0,marketed_clean
C#Cc1c[nH]c(=O)[nH]c1=O,JOZGNYDSEBIJDH-UHFFFAOYSA-N,0,marketed_clean
O=P(=O)OCCCO,ARGGXLVXBNBKMN-UHFFFAOYSA-N,0,marketed_clean
CCCCCCCCCCCCCCC[C@H](O)[C@@H](N)CO,OTKJDMGTUTTYMP-ROUUACIJSA-N,0,marketed_clean
COc1ccc2cc(-c3cc(-c4cc(Cl)cc(Cl)c4)nn3[C@@H](C)c3ccc(C(=O)NCCC(=O)O)cc3)ccc2c1,DNTVJEMGHBIUMW-IBGZPJMESA-N,0,marketed_clean
C1CCN(C2CCNCC2)CC1,QDVBKXJMLILLLB-UHFFFAOYSA-N,0,marketed_clean
CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2N[C@@H](C)C(F)(F)F)c(F)c1,ZUZPCOQWSYNWLU-VIFPVBQESA-N,0,marketed_clean
CCOC(=O)C(COC(=O)Cc1ccc(NC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)c(C(=O)N(C)C)c1)(C(=O)OCC)c1ccccc1,FPUQGCOBYOXAED-UHFFFAOYSA-N,0,marketed_clean
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,OFEZSBMBBKLLBJ-BAJZRUMYSA-N,0,marketed_clean
CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c-4n[nH]c1C,AOMMPEGZDRAGRC-UHFFFAOYSA-N,0,marketed_clean
C[C@]1(CC(=O)O)C(CCC(=O)O)=C2/C=c3\[nH]/c(c(CCC(=O)O)c3CC(=O)O)=C\c3[nH]c(c(CC(=O)O)c3CCC(=O)O)/C=C3\NC(=C(CCC(=O)O)[C@]3(C)CC(=O)O)/C=C/1N2,RBOWCRWTVSQUKE-RKWUFXAUSA-N,0,marketed_clean
N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,SGEGOXDYSFKCPT-UHFFFAOYSA-N,0,marketed_clean
CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,OEHFRZLKGRKFAS-UHFFFAOYSA-N,1,union
CC1(C)CC(O)CC(C)(C)N1[O],UZFMOKQJFYMBGY-UHFFFAOYSA-N,0,marketed_clean
CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,0,marketed_clean
CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I,YQNFBOJPTAXAKV-UHFFFAOYSA-N,0,marketed_clean
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1I,WXFYBFRZROJDLL-RRKCRQDMSA-N,0,marketed_clean
O=C(O)CNC(=O)c1ncc(-c2cccc(Cl)c2)cc1O,JGRXMPYUTJLTKT-UHFFFAOYSA-N,0,marketed_clean
CC1(C)C(=O)N(C(=O)NCC2CCN(CC3(O)CCOCC3)CC2)c2cc(F)ccc21,AGMOFKKOVMRGAK-UHFFFAOYSA-N,0,marketed_clean
CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C(CO)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,0,marketed_clean
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,0,marketed_clean
C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(=N)N)c2)cc1,UFKJQTGPBFWMGT-UHFFFAOYSA-O,0,marketed_clean
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,QYSXJUFSXHHAJI-YRZJJWOYSA-N,0,marketed_clean
CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,BBIPVJCGIASXJB-PKTZIBPZSA-N,0,marketed_clean
CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1C[C@@H](OC(=O)CC)[C@@H]2OC(=O)CC,ONMZMZJEZHMWQL-REUUDLSRSA-N,0,marketed_clean
COC(=O)c1ccccc1C(=O)c1ccc(OCCN2CCCCC2)cc1,NZHMAQSCHUSSSJ-UHFFFAOYSA-N,0,marketed_clean
Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,UAUIUKWPKRJZJV-QPLHLKROSA-N,0,marketed_clean
C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,NEQYWYXGTJDAKR-JTQLQIEISA-N,0,marketed_clean
NC(=O)OCC(O)COc1ccc(Cl)cc1,SKPLBLUECSEIFO-UHFFFAOYSA-N,0,marketed_clean
c1ccc2c(-c3ccncc3)n[nH]c2c1,MSRXUUDVRNWSTN-UHFFFAOYSA-N,0,marketed_clean
CCOP(=O)(O)N(CC)CC,DUNFIZRDIMDMIH-UHFFFAOYSA-N,0,marketed_clean
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,VGKDLMBJGBXTGI-SJCJKPOMSA-N,1,union
CO[C@@H]1[C@H](OC(=O)N[C@@H](C(N)=O)C(C)C)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,QBDVVYNLLXGUGN-XGTBZJOHSA-N,0,marketed_clean
COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,CFCUWKMKBJTWLW-UHFFFAOYSA-N,1,union
CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,IVPCTHKPOPQMSX-UHFFFAOYSA-N,0,marketed_clean
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,LJVAJPDWBABPEJ-HIXZKHOGSA-N,1,union
CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,TYNLGDBUJLVSMA-UHFFFAOYSA-N,1,union
