canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
Br,Hexatantalum Dodecabromide,Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.[Br-].[Ta].[Ta].[Ta].[Ta].[Ta].[Ta],CPELXLSAUQHCOX-UHFFFAOYSA-N,pubchem,131704268,0,unknown,0,0
BrC(Br)Br,bromoform,BrC(Br)Br,DIKBFYAXUHHXCS-UHFFFAOYSA-N,drugcentral;pubchem,405;5558,0,unknown,0,0
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,"4,5,6,7-Tetrabromobenzotriazole",C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br,OMZYUVOATZSGJY-UHFFFAOYSA-N,pubchem,1694,0,unknown,0,0
Brc1c(NC2=NCCN2)ccc2nccnc12,BRIMONIDINE,Brc1c(NC2=NCCN2)ccc2nccnc12,XYLJNLCSTIOKRM-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL844;CHEMBL1200389;395;2435,0,unknown,0,0
Brc1cccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]n2)c1,Emrusolmin,C1OC2=C(O1)C=C(C=C2)C3=CC(=NN3)C4=CC(=CC=C4)Br,RCQIIBJSUWYYFU-UHFFFAOYSA-N,pubchem,44608289,0,unknown,0,0
Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]ccc3n2)c1,"(5Z)-5-(3-Bromocyclohexa-2,5-dien-1-ylidene)-N-(pyridin-4-ylmethyl)-1,5-dihydropyrazolo(1,5-A)pyrimidin-7-amine",C1=CC(=CC(=C1)Br)C2=CC(=[N+]3C(=N2)C=CN3)NCC4=CC=NC=C4,WSIQKQLAGWVKSL-UHFFFAOYSA-O,pubchem,5327130,0,unknown,0,0
Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]cnc3n2)c1,"(5Z)-5-(3-Bromocyclohexa-2,5-dien-1-ylidene)-N-(pyridin-4-ylmethyl)-1,5-dihydro[1,2,4]triazolo[1,5-A]pyrimidin-7-amine",C1=CC(=CC(=C1)Br)C2=CC(=[N+]3C(=N2)N=CN3)NCC4=CC=NC=C4,YWBFPKPWMSWWEA-UHFFFAOYSA-O,pubchem,5327131,0,unknown,0,0
Brc1cnc2c(NCc3cncnc3)cc(-c3ccccc3)cn12,"3-bromo-6-phenyl-N-(pyrimidin-5-ylmethyl)imidazo[1,2-a]pyridin-8-amine",C1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NCC4=CN=CN=C4)Br,LZLKFNBMXXLTLX-UHFFFAOYSA-N,pubchem,10249182,0,unknown,0,0
Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,"3-bromo-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CN=CC=C4)Br,SMIZFGZXFDGISG-UHFFFAOYSA-N,pubchem,10249180,0,unknown,0,0
Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,"3-bromo-5-phenyl-N-(pyridin-4-ylmethyl)pyrazolo(1,5-a)pyrimidin-7-amine",C1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=NC=C4)Br,JECHSYMSTXETFI-UHFFFAOYSA-N,pubchem,10339710,0,unknown,0,0
Brc1cnn2c(NCc3cncnc3)cc(-c3ccccc3)cc12,"3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo(1,5-a)pyridin-7-amine",C1=CC=C(C=C1)C2=CC3=C(C=NN3C(=C2)NCC4=CN=CN=C4)Br,IBUPHWYGVDAASU-UHFFFAOYSA-N,pubchem,10317619,0,unknown,0,0
Brc1ncnc2nc[nH]c12,"Purine, 6-bromo-",C1=NC2=C(N1)C(=NC=N2)Br,CTGFGRDVWBZYNB-UHFFFAOYSA-N,pubchem,5287830,0,unknown,0,0
C,Methane,C,VNWKTOKETHGBQD-UHFFFAOYSA-N,pubchem,297,0,unknown,0,0
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,Phthalofyne,CCC(C)(C#C)OC(=O)C1=CC=CC=C1C(=O)O,CZGIRAWWWHPJHM-UHFFFAOYSA-N,pubchem,8573,0,unknown,0,0
C#CC(C)(O)CC,methylpentynol,CCC(C)(O)C#C,QXLPXWSKPNOQLE-UHFFFAOYSA-N,drugcentral;pubchem,1687;6494,0,unknown,0,0
C#CC(O)(/C=C/Cl)CC,ETHCHLORVYNOL,C#CC(O)(/C=C/Cl)CC,ZEHYJZXQEQOSON-AATRIKPKSA-N,chembl;pubchem,CHEMBL591;5281077,0,unknown,0,0
C#CC(O)(C=CCl)CC,ethchlorvynol,CCC(O)(C=CCl)C#C,ZEHYJZXQEQOSON-UHFFFAOYSA-N,drugcentral,1078,0,unknown,0,0
C#CC(OC(N)=O)c1ccccc1,carfimate,NC(=O)OC(C#C)C1=CC=CC=C1,MTTYXGPMZKRTCI-UHFFFAOYSA-N,drugcentral,3703,0,unknown,0,0
