name,canonical_smiles,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,sider_terms,known_hepatotoxic
TOLBUTAMIDE,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,JLRGJRBPOGGCBT-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL782;CHEMBL1200874;2696;5505,1,Ambiguous-DILI-Concern,1,,1
BUMETANIDE,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,MAEIEVLCKWDQJH-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1072;427;2471,1,Ambiguous-DILI-Concern,1,,1
Oxibendazole,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,RAOCRURYZCVHMG-UHFFFAOYSA-N,pubchem,4622,0,unknown,1,,1
NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL5;1875;4421,1,Ambiguous-DILI-Concern,1,,1
mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O,SLVMESMUVMCQIY-UHFFFAOYSA-N,drugcentral;pubchem,1712;4078,0,unknown,1,,1
MESORIDAZINE,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,SLVMESMUVMCQIY-UHFFFAOYSA-N,chembl,CHEMBL1088;CHEMBL1201052,0,unknown,1,,1
tianeptine,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,CN1C2=CC=CC=C2C(NCCCCCCC(O)=O)C2=CC=C(Cl)C=C2S1(=O)=O,JICJBGPOMZQUBB-UHFFFAOYSA-N,drugcentral;pubchem,2650;68870,0,unknown,1,,1
NICARDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1484;CHEMBL1200326;1909;4474,1,Ambiguous-DILI-Concern,1,,1
AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL43;203;2179,0,unknown,1,,1
LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL554;CHEMBL1201179;1548;208908,0,unknown,1,,1
