name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
5-Aminolevulinic Acid,C(CC(=O)O)C(=O)CN,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,sider,137,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood bilirubin increased;Gamma-glutamyltransferase increased,0,unknown,0,1
"5-(5-Hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta(b)furan-2-ylidene)pentanoic acid",CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,KAQKFAOMNZTLHT-UHFFFAOYSA-N,sider,159,Hepatic failure,0,unknown,0,1
Ox bile extract,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,BHQCQFFYRZLCQQ-UHFFFAOYSA-N,sider,303,Jaundice;Transaminases increased,0,unknown,0,1
Citric Acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,sider,311,Liver disorder,0,unknown,0,1
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,sider,338,Hepatitis,0,unknown,0,1
Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,SNPPWIUOZRMYNY-UHFFFAOYSA-N,sider,444,Hepatic enzyme increased;Hepatic function abnormal;Hepatitis;Hepatitis C;Hepatocellular injury;Hepatotoxicity;Jaundice;Liver injury,0,unknown,0,1
"13-Methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta(a)phenanthrene-3,17-diol",CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,VOXZDWNPVJITMN-UHFFFAOYSA-N,sider,450,Alanine aminotransferase increased;Blood alkaline phosphatase increased;Hepatic function abnormal;Hepatic neoplasm;Hepatitis;Hepatitis acute;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
Hexitol,C(C(C(C(C(CO)O)O)O)O)O,OCC(O)C(O)C(O)C(O)CO,FBPFZTCFMRRESA-UHFFFAOYSA-N,sider,453,Blood alkaline phosphatase increased,0,unknown,0,1
4-Amino-1-pentofuranosyl-2(1H)-pyrimidinone,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,sider,596,Blood bilirubin increased;Hepatic function abnormal;Hepatocellular injury;Jaundice;Liver abscess;Liver injury;Transaminases increased;Traumatic liver injury,0,unknown,0,1
Mercaptoethanesulfonic acid,C(CS(=O)(=O)O)S,O=S(=O)(O)CCS,ZNEWHQLOPFWXOF-UHFFFAOYSA-N,sider,598,Hepatitis,0,unknown,0,1
