Name,SMILES
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
Metformin,CN(C)C(=N)N=C(N)N
Troglitazone,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Tamoxifen,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
Isoniazid,C1=CN=CC=C1C(=O)NN
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Ursodeoxycholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
