"Drug_Name","Sources_Count","All_Source_Papers","Mechanism_Pathway","Indication","Drug_Action","SMILES","Reference_DOIs"
"diphenhydramine","5","Chen 2011; Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #1)","H1 receptor antagonist","Allergy / Insomnia","Antihistamine / Sedative","CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"caffeine","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #3)","Adenosine receptor antagonist / Phosphodiesterase inhibitor","Apnea of prematurity / Fatigue","CNS stimulant","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"lidocaine","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #7)","Sodium channel blocker","Local anesthesia / Ventricular arrhythmia","Local anesthetic / Antiarrhythmic","CCN(CC)CC(=O)NC1=C(C=CC=C1C)C","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"digoxin","4","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Na+/K+ ATPase inhibitor","Heart failure / Atrial fibrillation","Cardiac glycoside","CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"furosemide","4","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Na-K-2Cl symporter inhibitor","Edema / Hypertension","Loop diuretic","C1=CC=C(C=C1)CNC2=C(C=C(C(=C2)S(=O)(=O)N)Cl)C(=O)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"theophylline","4","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E / aminophylline)","Phosphodiesterase inhibitor","Asthma / COPD","Bronchodilator","CN1C2=C(C(=O)N(C1=O)C)NC=N2","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"isoproterenol","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #2)","Beta-adrenergic agonist","Bradycardia / Heart block","Bronchodilator / Cardiac stimulant","CC(C)NCC(C1=CC(=C(C=C1)O)O)O","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"zolpidem","4","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","GABA-A receptor agonist","Insomnia","Sedative-hypnotic","CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"buspirone","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #10)","5-HT1A receptor partial agonist","Generalized anxiety disorder","Anxiolytic","C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"primidone","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #4)","Barbiturate analog / Sodium channel modulator","Seizures","Anticonvulsant","CCC1(C2=CC=CC=C2)C(=O)NCNC1=O","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
